age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,contactado_previamente,rango_edad
56,housemaid,married,basic,no,no,no,telephone,mayo,lunes,261,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
57,services,married,high.school,unknown,no,no,telephone,mayo,lunes,149,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,services,married,high.school,no,yes,no,telephone,mayo,lunes,226,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
40,admin,married,basic,no,no,no,telephone,mayo,lunes,151,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,services,married,high.school,no,no,yes,telephone,mayo,lunes,307,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
45,services,married,basic,unknown,no,no,telephone,mayo,lunes,198,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
59,admin,married,professional.course,no,no,no,telephone,mayo,lunes,139,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,217,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
24,technician,single,professional.course,no,yes,no,telephone,mayo,lunes,380,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
25,services,single,high.school,no,yes,no,telephone,mayo,lunes,50,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
41,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,55,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
25,services,single,high.school,no,yes,no,telephone,mayo,lunes,222,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
29,blue-collar,single,high.school,no,no,yes,telephone,mayo,lunes,137,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
57,housemaid,divorced,basic,no,yes,no,telephone,mayo,lunes,293,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
35,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,146,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,retired,married,basic,unknown,yes,yes,telephone,mayo,lunes,174,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
35,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,312,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
46,blue-collar,married,basic,unknown,yes,yes,telephone,mayo,lunes,440,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
50,blue-collar,married,basic,no,yes,yes,telephone,mayo,lunes,353,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,management,single,basic,unknown,no,no,telephone,mayo,lunes,195,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
30,unemployed,married,high.school,no,no,no,telephone,mayo,lunes,38,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
55,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,262,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,retired,single,high.school,no,yes,no,telephone,mayo,lunes,342,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,technician,single,high.school,no,yes,no,telephone,mayo,lunes,181,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
37,admin,married,high.school,no,yes,no,telephone,mayo,lunes,172,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
