age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,contactado_previamente,rango_edad
56,housemaid,married,basic,no,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
57,services,married,high.school,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,services,married,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
40,admin,married,basic,no,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,services,married,high.school,no,no,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
45,services,married,basic,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
59,admin,married,professional.course,no,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
24,technician,single,professional.course,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
25,services,single,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
41,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
25,services,single,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
29,blue-collar,single,high.school,no,no,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
57,housemaid,divorced,basic,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
35,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,retired,married,basic,unknown,yes,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
35,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
46,blue-collar,married,basic,unknown,yes,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
50,blue-collar,married,basic,no,yes,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,management,single,basic,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
30,unemployed,married,high.school,no,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
55,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,retired,single,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,technician,single,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
37,admin,married,high.school,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,technician,married,university.degree,no,no,yes,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
59,technician,married,professional.course,no,yes,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,self-employed,married,basic,unknown,no,no,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,technician,single,university.degree,unknown,no,no,telephone,mayo,lunes,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,mayo,lunes,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
